English,CEFR,gender,word,wordWithNiqqud,transliteration,definition,example,exampleWithNiqqud,translation
planet,B2,masculine,כוכב לכת,כּוֹכַב לֶכֶת,koħáv léħet,,מאדים נחשב כוכב לכת מרתק במיוחד.,מַאֲדִים נֶחְשָׁב כּוֹכַב לֶכֶת מְרַתֵּק בִּמְיֻחָד.,Mars is considered a particularly fascinating planet.
plant,A2,masculine,צמח,צֶמַח,tsémaħ,צמח ירוק הצומח מהאדמה,בחדר גדל צמח קטן.,בַּחֶדֶר גָּדֵל צֶמַח קָטָן.,A small plant is growing in the room.
plant,A2,verb,נטע,נָטַע,natá',שתל צמח באדמה,הגנן נטע עצים בגן.,הַגַּנָּן נִטֵּעַ עֵצִים בַּגַּן.,The gardener planted trees in the garden.
plantation,B2,masculine,מטע,מִטְעָה,matá',,המטע מניב פירות בכל קיץ.,הַמַּטָּע מַנִּיב פֵּרוֹת בְּכָל קַיִץ.,The plantation yields fruit every summer.
plastic,A2,masculine,פלסטיק,פְּלַסְטִיק,plástik,חומר מלאכותי גמיש,הכוס הזאת עשויה מפלסטיק.,הַכּוֹס הַזֹּאת עֲשׂוּיָה מִפְּלַסְטִיק.,This cup is made of plastic.
plate,A1,feminine,צלחת,צַלַּחַת,tsaláħat,כלי לאכילה שעליו מניחים מזון,אני שם את האוכל על הצלחת.,אֲנִי שָׂם אֶת הָאוֹכֶל עַל הַצַּלַּחַת.,I put the food on the plate.
platform,B2,feminine,פלטפורמה,פְּלַטְפוֹרְמָה,platfórma,,החברה פיתחה פלטפורמה למסחר דיגיטלי.,הַחֶבְרָה פִּתְּחָה פְּלַטְפוֹרְמָה לְמִסְחָר דִּיגִיטָלִי.,The company developed a digital trading platform.
pleasant,A2,adjective,נעים,נָעִים,naím,בעל תחושה נעימה,המזג אוויר נעים היום.,הַמֶּזֶג אֲווִיר נָעִים הַיּוֹם.,The weather is pleasant today.
please,A1,phrase,בבקשה,בְּבַקָּשָׁה,bvakasha,מילת נימוס לבקשה או פנייה,"תן לי מים, בבקשה.","תֵּן לִי מַיִם, בְּבַקָּשָׁה.","Give me water, please."
plushie,A2,feminine,בובה,בֻּבָּה,bubá,דמות צעצוע רכה לילדים,הבובה הזאת רכה מאוד.,הַבֻּבָּה הַזֹּאת רַכָּה מְאֹד.,This plushie is very soft.
podcast,B1,masculine,פודקאסט,פּוֹדְקַאסְט,pódkast,תוכנית קולית מוקלטת,הפודקאסט הזה מאוד מעניין.,הַפּוֹדְקַאסְט הַזֶּה מְאֹד מְעַנְיֵן.,This podcast is very interesting.
police,A2,feminine,משטרה,מִשְׁטָרָה,mishtará,גוף שמפקח על החוק,המשטרה הגיעה למקום הפשע.,הַמִּשְׁטָרָה הִגִּיעָה לְמָקוֹם הַפֶּשַׁע.,The police arrived at the crime scene.
political,B1,adjective,פוליטי,פּוֹלִיטִי,politi,שייך לפוליטיקה,הנושא הפוליטי עורר ויכוח סוער.,הַנּוֹשֵׂא הַפּוֹלִיטִי עוֹרֵר וִכּוּחַ סוֹעֵר.,The political issue sparked a heated debate.
politics,B1,feminine,פוליטיקה,פּוֹלִיטִיקָה,polítika,תחום ניהול המדינה,פוליטיקה משפעת על חיינו כל יום.,פּוֹלִיטִיקָה מְשַׁפַּעַת עַל חַיֵּינוּ כָּל יוֹם.,Politics influence our lives every day.
pollution,B2,masculine,זיהום,זִהוּם,zihúm,,הזיהום במפעלים גורם לנזק חמור לסביבה.,הַזִּהוּם בַּמִּפְעָלִים גּוֹרֵם לְנֵזֶק חָמוּר לַסְּבִיבָה.,Pollution from factories causes serious damage to the environment.
"pool, pond",A1,feminine,בריכה,בְּרֵיכָה,breħá,שטח מלא מים לרחצה או נוי,אנחנו הולכים לבריכה בקיץ.,אֲנַחְנוּ הוֹלְכִים לַבְּרֵיכָה בַּקַּיִץ.,We go to the pool in the summer.
"poor, unfortunate",A2,adjective,מסכן,מִסְכֵּן,miskén,אדם שאין לו מזל או נמצא בצרה,הנער המסכן חולם על בית גדול.,הַנַּעַר הַמְּסַכֵּן חוֹלֵם עַל בַּיִת גָּדוֹל.,The poor boy dreams of a big house.
popular,B1,adjective,פופולרי,פּוֹפּוּלָרִי,populári,"שייך להמון, אהוב",הספר הזה מאוד פופולרי בתוך הנוער.,הַסֵּפֶר הַזֶּה מְאֹד פּוֹפּוּלָרִי בְּתוֹךְ הַנּוֹעַר.,This book is very popular among teenagers.
population,B1,feminine,אוכלוסייה,אוֹכְלוֹסִיָּה,ukhlusiyá,כלל האנשים באזור מסוים,האוכלוסיה התרבתה בעיר בשנים האחרונות.,הָאוּכְלוּסִיָּה הִתְרַבְּתָה בָּעִיר בְּשָׁנִים הָאַחֲרוֹנוֹת.,The population of the city has grown in recent years.
population,B2,masculine,אוכלוסין,אוֹכְלוּסִין,ukhlusín,כלל האנשים באזור מסוים,האוכלוסין בעיר גדלים בקצב מהיר יותר ממה שהעירייה ציפתה.,הָאוֹכְלוּסִין בָּעִיר גְּדֵלִים בְּקֶצֶב מַהִיר יוֹתֵר מִמָּה שֶׁהָעִירִיָּה צִיפְּתָה.,The population in the city is growing faster than the municipality expected.
port,A2,masculine,נמל,נָמֵל,namél,מקום עגינה לספינות,הנמל שבחיפה הוא גדול.,הַנָּמֵל שֶׁבְּחֵיפָה הוּא גָּדוֹל.,The port in Haifa is large.
portable,B2,adjective,נייד,נַיָּיד,nayád,,המחשב הנייד קל לנשיאה.,הַמַּחְשֵׁב הַנָּיָד קַל לִנְשִׂיאָה.,The laptop is easy to carry.
positive,B2,adjective,פוזיטיבי,פּוֹזִיטִיבִי,pozitiví,,התגובה שלו הייתה חיובית מאוד.,הַתְּגוּבָה שֶׁלּוֹ הָיְתָה חִיּוּבִית מְאֹד.,His reaction was very positive.
possibility,A2,feminine,אפשרות,אֶפְשָׁרוּת,efsharút,אפשרות לביצוע דבר מה,יש אפשרות לנסיעה מחר.,יֵשׁ אֶפְשָׁרוּת לְנָסִיעָה מָחָר.,There is a possibility of traveling tomorrow.
possible,A1,,אפשר,אֶפְשָׁר,efshár,אפשרות לקיום או פעולה,אפשר לשבת פה?,אֶפְשָׁר לָשֶׁבֶת פֹּה?,Can I sit here?
possible,B1,adjective,אפשרי,אֶפְשָׁרִי,efsharí,שיכול לקרות,זה לא אפשרי לראות את הכוכבים ביום.,זֶה לֹא אֶפְשָׁרִי לִרְאוֹת אֶת הַכּוֹכָבִים בַּיּוֹם.,It is not possible to see the stars during the day.
post office,A1,masculine,בית דואר,בֵּית דּוֹאַר,béit dó'ar,מבנה לריפוי חולים,אני שולח מכתב בבית־הדואר.,אֲנִי שׁוֹלֵחַ מִכְתָּב בְּבֵית־הַדּוֹאַר.,I'm sending a letter at the post office.
potato,A1,masculine,תפוח אדמה,תַּפּוּחַ אֲדָמָה,tapuách adamá,ירק שגדל באדמה,אני אוכל תפוח אדמה לארוחת ערב.,אֲנִי אוֹכֵל תַּפּוּחַ אֲדָמָה לְאֲרוּחַת עֶרֶב.,I eat a potato for dinner.
potential,B2,masculine,פוטנציאל,פּוֹטֶנְצְיָאל,potentsyál,,לפרויקט יש פוטנציאל גדול להצלחה.,לַפְּרוֹיֶקט יֵשׁ פּוֹטֶנְצְיָאל גָּדוֹל לְהַצְלָחָה.,The project has great potential for success.
powder,B1,feminine,אבקה,אַבְקָה,avká,חומר דקיק המתפזר,הוא שם אבקה בתה.,הוּא שָׂם אַבְקָּה בַּתַּה.,He put powder in the tea.
"power, electric power",C,masculine,הספק,הֶסְפֵּק,hespék,כוח פיזי או חשמלי,מכשיר מדידה הראה את ההספק החשמלי.,מַכְשִׁיר מְדִידָה הֶרְאָה אֶת הָהֶסְפֵּק הַחַשְׁמַלִּי.,A measuring device showed the electrical power.
"power, force",A2,masculine,כוח,כֹּחַ,kóaħ,כוח פיזי או יכולת,לאדם יש כוח רב.,לָאָדָם יֵשׁ כֹּחַ רַב.,A person has great power.
pray,A2,verb,התפלל,הִתְפַּלֵּל,hitpalél,פנה לאלוהים בתפילה,האיש התפלל בבית הכנסת.,הָאִישׁ הִתְפַּלֵּל בְּבֵית הַכְּנֶסֶת.,The man prayed in the synagogue.
prayer,B1,feminine,תפילה,תְּפִלָּה,tfilá,פנייה לאלוהים,התפילה היא חלק חשוב מהדת.,הַתְּפִלָּה הִיא חֵלֶק חָשׁוּב מֵהַדָּת.,Prayer is an important part of religion.
prayer book,B2,masculine,סידור,סִידּוּר,sidúr,,הילד התפלל מתוך סידור חדש.,הַיֶּלֶד הִתְפַּלֵּל מִתּוֹךְ סִידּוּר חָדָשׁ.,The boy prayed from a new prayer book.
precede,B2,verb,קדם,קָדַם,kadám,,הטכנולוגיה קודמת לעיתים לחקיקה המתאימה לה.,הַטֶּכְנוֹלוֹגְיָה קוֹדֶמֶת לְעִתִּים לַחֲקִיקָה הַמַּתְאִימָה לָהּ.,Technology sometimes precedes the legislation appropriate to it.
precedent,B2,masculine,תקדים,תַּקְדִּים,takdím,,פסק הדין יצר תקדים חשוב במערכת המשפט.,פְּסַק הַדִּין יָצַר תַּקְדִּים חָשׁוּב בַּמַּעֲרֶכֶת הַמִּשְׁפָּט.,The court ruling created an important precedent in the legal system.
precision,B2,,דיוק,דִּיּוּק,diyúk,דיוק בביצוע,שגיאה קטנה בדיוק הביאה לתקלה גדולה.,שְׁגִיאָה קְטַנָּה בְּדִיּוּק הִבְיָה לְתַקָּלָה גְּדוֹלָה.,A small mistake in precision led to a major malfunction.
preface,B2,feminine,הקדמה,הַקְדָּמָה,hakdamá,,בהקדמה לספר המחבר מתאר את מקורות ההשראה שלו.,בְּהַקְדָּמָה לַסֵּפֶר הַמְּחַבֵּר מְתָאֵר אֶת מְקוֹרוֹת הַהַשְׁרָאָה שֶׁלּוֹ.,"In the preface to the book, the author describes his sources of inspiration."
pregnancy,B1,masculine,היריון,הֵרָיוֹן,herayón,מצב של נשיאת עובר,הריון נמשך תשעה חדשים.,הֵרָיוֹן נִמְשָׁךְ תִּשְׁעָה חֳדָשִׁים.,Pregnancy lasts nine months.
pregnant,A2,adjective,הרה,הָרָה,hará,אישה שנושאת עובר,האשה הרה והיא מצפה ליום הלידה.,הָאִשָּׁה הָרָה וְהִיא מְצַפָּה לְיוֹם הַלִּידָה.,The woman is pregnant and she is waiting for the day of birth.
pregnant,B2,adjective,מעוברת,מְעוּבֶּרֶת,miubéret,,האישה המעוברת נחוֹת בבית החולים.,הָאִשָּׁה הַמְּעוּבֶּרֶת נָחָה בְּבֵית הַחוֹלִים.,The pregnant woman rested in the hospital.
prejudice,B2,feminine,דעה קדומה,דֵּעָה קְדוּמָה,de'á kdumá,דעה לא הוגנת מוקדמת,לדעה קדומה אין מקום בחברה מודרנית.,לְדֵעָה קְדוּמָה אֵין מָקוֹם בַּחֶבְרָה מוֹדֶרְנִית.,Prejudice has no place in a modern society.
preparation,B1,feminine,הכנה,הֲכָנָה,haħaná,פעולה של הכנה,ההכנה למבחן לקחה שבוע.,הַהֲכָנָה לַמִּבְחָן לָקְחָה שָׁבוּעַ.,The preparation for the exam took a week.
prescription,B2,masculine,מרשם,מִרְשָׁם,mirshám,,הרופא נתן מרשם לתרופה חדשה.,הָרוֹפֵא נָתַן מִרְשָׁם לִתְרוּפָה חֲדָשָׁה.,The doctor gave a prescription for a new medicine.
president,B1,masculine,נשיא,נָשִׂיא,nasí,ראש המדינה,נשיא המדינה נשא נאום טלוויזיוני.,נָשִׂיא הַמְּדִינָה נָשָׂא נְאוּם טֶלֶוִיזְיוֹנִי.,The president of the country gave a televised speech.
pressure,B1,masculine,לחץ,לַחַץ,láħats,כוח או לחץ על דבר,התלמיד הרגיש לחץ רב במבחן.,הַתַּלְמִיד הִרְגִּישׁ לַחַץ רַב בַּמִּבְחָן.,The student felt a lot of pressure during the test.
"price, cost",A2,masculine,מחיר,מְחִיר,mħír,סכום כסף עבור מוצר או שירות,המחיר של המחשב גבוה.,הַמְּחִיר שֶׁל הַמַּחְשֵׁב גָּבוֹהַּ.,The price of the computer is high.
prickly pear cactus,B2,masculine,צבר,צַבָּר,tsabár,,בנגב צומח צבר גדול וקוצני.,בַּנֶּגֶב צוֹמֵחַ צַבָּר גָּדוֹל וְקוֹצְנִי.,In the Negev grows a large and thorny sabra cactus.
pride,B1,feminine,גאווה,גַּאֲוָה,gaavá,תחושת כבוד עצמי,הוא הרגיש גאווה בהצלחה שלו.,הוּא הִרְגִּישׁ גַּאֲוָה בַּהַצְלָחָה שֶׁלּוֹ.,He felt pride in his success.
pride parade,B2,masculine,מצעד הגאווה,מִצְעַד הַגַּאֲוָה,mitsád hagaavá,,מצעד הגאווה נערך במרכז העיר.,מִצְעַד הַגֵּאוָּה נֶעֱרַךְ בְּמֶרְכַּז הָעִיר.,The Pride Parade was held in the city center.
prime minister,B1,masculine,ראש ממשלה,רֹאשׁ מֶמְשָׁלָה,rosh memshalá,ראש הממשלה במדינה,ראש הממשלה התראיין לעיתונות.,רֹאשׁ הַמֶּמְשָׁלָה הִתְרַיֵּין לָעִתּוֹנוּת.,The prime minister gave an interview to the press.
prince,B1,masculine,נסיך,נָסִיךְ,nasiħ,בן מלך,הנסיך חי בארמון יפה.,הַנָּסִיךְ חָי בְּאַרְמוֹן יָפֶה.,The prince lives in a beautiful palace.
princess,A2,feminine,נסיכה,נְסִיכָה,nesiħá,בת למלך או מלכה,הנסיכה לבשה שמלה לבנה.,הַנְּסִיכָה לָבְשָׁה שִׂמְלָה לְבָנָה.,The princess wore a white dress.
principle,B2,masculine,עיקרון,עִיקָּרוֹן,ikarón,,הוא פעל לפי עיקרון השוויון.,הוּא פָּעַל לְפִי עִקָּרוֹן הַשִּׁוְיוֹן.,He acted according to the principle of equality.
prison,A2,masculine,בית סוהר,בֵּית סֹהַר,béit sóhar,מקום לכליאת עבריינים,האסיר שהה בבית הסהר.,הָאִסִּיר שָׁהָה בְּבֵית הַסֹּהַר.,The prisoner stayed in prison.
prisoner,B1,masculine,אסיר,אָסִיר,asír,אדם שנמצא בבית סוהר,האסיר חי בכלא כבר שנים.,הָאָסִיר חַי בְּכֶלֶא כְּבָר שָׁנִים.,The prisoner has been living in jail for years.
